Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
Egg Harbor First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sturgeon Bay,Region 3,,911 Non-Transporting Service,920-559-6081,ssbn608g@gmail.com,44.951632,-87.320532
Jacksonport First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Jacksonport,Region 3,,911 Non-Transporting Service,920-823-2488,aleclair@co.door.wi.us,44.979086,-87.188978
Peshtigo (City Of) Fire/Rescue Department,Marinette,Emergency Medical Responder (EMR),911 Non-Transporting Service,Peshtigo,Region 3,,911 Non-Transporting Service,715-582-3041,chief@cityofpeshtigo.us,45.054260377,-87.751893074
Baileys Harbor First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Baileys Harbor,Region 3,,911 Non-Transporting Service,920-495-3040,danielkiehnau@gmail.com,45.066484,-87.126632
Aurora Medical Center - Bay Area,Marinette,Paramedic with Critical Care Endorsement,911 Transporting Service,Marinette,Region 3,,911 Transporting Service,715-735-4200,michael.orlando@aah.org,45.0707,-87.634
Coleman Area Rescue Squad Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Coleman,Region 3,,911 Transporting Service,920-897-2858,colemanemt@outlook.com,45.079509,-88.032581
Emergency Rescue Squad Inc.,Marinette,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Marinette,Region 3,,911 Transporting Service,715-923-2683,marinette.ers@gmail.com,45.082151,-87.648902
Marinette (City Of) Fire Department First Responders,Marinette,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marinette,Region 3,,911 Non-Transporting Service,715-732-5178,dvanwinkle@marinette.wi.us,45.097132,-87.624927
Brazeau (Town Of) Ambulance,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Pound,Region 3,,911 Transporting Service,920-897-3855,brazeauambulance@gmail.com,45.100556,-88.200399
Gibraltar First Responders,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fish Creek,Region 3,,911 Non-Transporting Service,920-559-0736,amurre@gibraltarfirerescue.org,45.126629,-87.24167
Sister Bay And Liberty Grove Fire Department,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sister Bay,Region 3,,911 Non-Transporting Service,920-854-4021,sblgfd1@gmail.com,45.190183,-87.125453
Mountain Ambulance Service,Oconto,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Mountain,Region 3,,911 Transporting Service,715-276-6669,mountainambulance@hotmail.com,45.194206,-88.489064
Crivitz Rescue Squad Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Crivitz,Region 3,,911 Transporting Service,715-854-7666,crivitzrescue@crivitzrescue.com,45.233255,-88.012819
"Twin Bridge Rescue Squad, Inc.",Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Crivitz,Region 3,,911 Transporting Service,715-757-2682,twinbridgerescue@outlook.com,45.306417,-88.162606
Community Ambulance Service,Oconto,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Townsend,Region 3,,911 Transporting Service,715-276-1513,mfd2600@gmail.com,45.308149888,-88.555982595
Wausaukee Rescue Squad Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Wausaukee,Region 3,,911 Transporting Service,715-856-5035,wausaukeers911@gmail.com,45.375645,-87.949193
Washington Island Fire Department Emr,Door,Emergency Medical Responder (EMR),911 Non-Transporting Service,Washington Island,Region 3,,911 Non-Transporting Service,920-847-2522,qwkhelp911@gmail.com,45.376186259,-86.920564785
Silver Cliff Rescue Squad Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Silver Cliff (Town of),Region 3,,911 Transporting Service,715-757-2752,annhummingbird@gmail.com,45.396007,-88.279852
Pembine-Dunbar-Beecher Rescue Squad,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Pembine,Region 3,,911 Transporting Service,715-324-5656,pembinerescue@gmail.com,45.618574,-87.99472
Goodman-Armstrong Rescue Squad Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Goodman,Region 3,,911 Transporting Service,715-336-2027,goodmanrescue@yahoo.com,45.631607,-88.357461
Florence County Rescue Squad D.B.A. Aurora Homestead Rescue Squad,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Niagara,Region 3,,911 Transporting Service,906-282-6598,swestman32@gmail.com,45.771361247,-87.994956345
Niagara Area Emergency Unit Inc.,Marinette,Emergency Medical Technician (EMT),911 Transporting Service,Niagara,Region 3,,911 Transporting Service,715-251-3136,naeu66@gmail.com,45.784637,-88.005069
Long Lake Volunteer Fire Department D.B.A. Long Lake Fire Department Ems,Florence,Emergency Medical Technician (EMT),911 Transporting Service,Long Lake (Town of),Region 3,,911 Transporting Service,715-674-2261,dlenehanllfd@gmail.com,45.844908,-88.668437
"Long Lake-Tipler Rescue Squad, Ltd.",Florence,Emergency Medical Technician (EMT),911 Transporting Service,Tipler,Region 3,,911 Transporting Service,715-889-2674,the_mulveys@yahoo.com,45.919313,-88.632549
Florence County Rescue Squad Llc,Florence,Emergency Medical Technician (EMT),911 Transporting Service,Florence,Region 3,,911 Transporting Service,715-528-3030,dianekt1017@gmail.com,45.921376,-88.253581
Florence County Ems,Florence,Emergency Medical Technician (EMT),911 Transporting Service,Florence,Region 3,,911 Transporting Service,414-296-1059,amulvey@florencecountywi.gov,45.921464204,-88.253408516
Rural Bridgeport Prairie Du Chien First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Prairie du Chien,Region 4,,911 Non-Transporting Service,608-412-1033,interstate979@yahoo.com,43.037539,-91.138602
Wauzeka First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wauzeka,Region 4,,911 Non-Transporting Service,608-412-2929,mewoodson57@gmail.com,43.084171693,-90.885806417
Eastman First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eastman,Region 4,,911 Non-Transporting Service,608-412-0039,saknutson107@gmail.com,43.162310978,-91.020520856
Steuben First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Steuben,Region 4,,911 Non-Transporting Service,608-412-0338,sassyone_1972@yahoo.com,43.181188063,-90.858616947
Seneca First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Seneca,Region 4,,911 Non-Transporting Service,608-734-3126,tjzach20@gmail.com,43.265,-90.9583
Ocooch Mountain Rescue,Crawford,Emergency Medical Technician (EMT),911 Transporting Service,Gays Mills,Region 4,,911 Transporting Service,608-412-3564,tjzach20@gmail.com,43.341,-90.8406
Ferryville First Responders,Crawford,Emergency Medical Responder (EMR),911 Non-Transporting Service,Ferryville,Region 4,,911 Non-Transporting Service,608-790-2632,brendavassar@mwt.net,43.342243,-91.085713
North Crawford Rescue Squad Inc,Crawford,Emergency Medical Technician (EMT),911 Transporting Service,Soldiers Grove,Region 4,,911 Transporting Service,608-632-0220,tlsalmon@mwt.net,43.388109,-90.763072
Desoto First Responders,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,De Soto,Region 4,,911 Non-Transporting Service,608-648-3331,desotoems@mwt.net,43.421947,-91.198803
Readstown Emergency Medical Service,Vernon,Emergency Medical Technician (EMT),911 Transporting Service,Readstown,Region 4,,911 Transporting Service,608-629-5379,mike.mendygral@gmail.com,43.449541,-90.76099
Wheatland First Responders,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,De Soto,Region 4,,911 Non-Transporting Service,608-606-3353,wheatlandemsvc@gmail.com,43.472067,-91.145523
Viroqua Fire Department,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Viroqua,Region 4,,911 Non-Transporting Service,608-637-3118,vfd@viroqua-wisconsin.com,43.560913,-90.881194
Lafarge Area Emergency Medical Service,Vernon,Emergency Medical Technician (EMT),911 Transporting Service,La Farge,Region 4,,911 Transporting Service,608-625-2110,quinnfm@live.com,43.573273,-90.631557
Genoa Harmony First Responders,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Genoa,Region 4,,911 Non-Transporting Service,608-689-2151,redfire@mwt.net,43.581162,-91.22661
Hillsboro Area Ambulance Service,Vernon,Emergency Medical Technician (EMT),911 Transporting Service,Hillsboro,Region 4,,911 Transporting Service,608-553-0469,bwitmer@ymail.com,43.657008,-90.332505
Westby First Responders,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Westby,Region 4,,911 Non-Transporting Service,608-632-4053,westbyems@gmail.com,43.660382,-90.856902
Stoddard Bergen Fire Dept First Responders,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Stoddard,Region 4,,911 Non-Transporting Service,608-457-2118,sbfd@mwt.net,43.663577,-91.218858
Coon Creek Fire & Rescue,Vernon,Emergency Medical Responder (EMR),911 Non-Transporting Service,Coon Valley,Region 4,,911 Non-Transporting Service,608-780-5973,ken.phillips2023@gmail.com,43.701267,-91.01718
Ontario Emergency Medical Service,Vernon,Emergency Medical Technician (EMT),911 Transporting Service,Ontario,Region 4,,911 Transporting Service,608-337-4381,ontario459ems@gmail.com,43.723077,-90.591931
Cashton Fire & Rescue First Responders,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Cashton,Region 4,,911 Non-Transporting Service,608-654-5441,rsmb10511@gmail.com,43.743505,-90.779658
Shelby Fire Department First Responders,La Crosse,Emergency Medical Responder (EMR),911 Non-Transporting Service,La Crosse,Region 4,,911 Non-Transporting Service,608-788-1032,kholinka@townofshelby.com,43.783158,-91.214052
Gundersen Air,La Crosse,Paramedic with Critical Care Endorsement,Air Medical Service,La Crosse,Region 4,,Air Medical Service,608-775-3874,jsweaver@gundersenhealth.org,43.794628,-91.246313
La Crosse Fire Department,La Crosse,Paramedic,911 Non-Transporting Service,La Crosse,Region 4,,911 Non-Transporting Service,608-789-8606,hillcoatj@cityoflacrosse.org,43.805375,-91.250424
Wilton (Village Of) Ambulance Service,Monroe,Emergency Medical Technician (EMT),911 Transporting Service,Wilton,Region 4,,911 Transporting Service,608-435-6666,villageofwilton@centurytel.net,43.813227,-90.52515
"Tri State Regional Ambulance, Inc.",La Crosse,Paramedic with Critical Care Endorsement,911 Transporting Service,La Crosse,Region 4,,911 Transporting Service,608-784-8827,TETornst@gundersenhealth.org,43.825172,-91.25382
Tri State Ambulance Inc. - La Crosse,La Crosse,Paramedic with Critical Care Endorsement,911 Transporting Service,La Crosse,Region 4,,911 Transporting Service,608-784-8827,TETornst@gundersenhealth.org,43.825172,-91.25372
Norwalk First Responders,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Norwalk,Region 4,,911 Non-Transporting Service,608-633-0545,daisylynn64@yahoo.com,43.831042,-90.623185
Campbell First Responders,La Crosse,Emergency Medical Responder (EMR),911 Non-Transporting Service,La Crosse,Region 4,,911 Non-Transporting Service,608-783-0050,campbell.ems@gmail.com,43.858919,-91.260129
Onalaska Fire Department,La Crosse,Emergency Medical Technician (EMT),911 Non-Transporting Service,Onalaska,Region 4,,911 Non-Transporting Service,608-781-9546,jsouthworth@onalaskawi.gov,43.883791,-91.230611
Bangor First Responders,La Crosse,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bangor,Region 4,,911 Non-Transporting Service,608-797-3691,bangorwifirstresponders@gmail.com,43.892097,-90.990751
West Salem First Responders,La Crosse,Emergency Medical Responder (EMR),911 Non-Transporting Service,West Salem,Region 4,,911 Non-Transporting Service,608-786-2501,danwilson31@yahoo.com,43.904881,-91.088945
Brice Prairie First Responders,La Crosse,Emergency Medical Responder (EMR),911 Non-Transporting Service,Onalaska,Region 4,,911 Non-Transporting Service,608-781-5707,emss@bpfr.org,43.93403,-91.299755
Badgerland Emergency Medical Services,Monroe,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Sparta,Region 4,,Other Primary Service Type,608-487-5710,badgerland.ems@gmail.com,43.937467839,-90.782265989
Sparta Area Ambulance Service Ltd,Monroe,Paramedic with Critical Care Endorsement,911 Transporting Service,Sparta,Region 4,,911 Transporting Service,608-269-4949,huberm.spartaambulance@gmail.com,43.938471,-90.818332
Holmen Area Fire Department First Responders,La Crosse,Emergency Medical Technician (EMT),911 Non-Transporting Service,Holmen,Region 4,,911 Non-Transporting Service,608-526-9363,rostreng@holmenfire.com,43.959343,-91.256827
Tomah Area Ambulance Service,Monroe,Paramedic with Critical Care Endorsement,911 Transporting Service,Tomah,Region 4,,911 Transporting Service,608-374-7460,arobarge@tomahwi.gov,43.989611578,-90.497956775
Tomah Area Medical Responders,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Tomah,Region 4,,911 Non-Transporting Service,608-387-0900,tomahareamedicalresponders@gmail.com,43.996109,-90.496116
Trempealeau Fire Department First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Trempealeau,Region 4,,911 Non-Transporting Service,608-534-6464,1stResponders@trempealeaufd.com,44.007341,-91.43087
Fort Mccoy Fire Department,Monroe,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Fort McCoy (Military Reservation),Region 4,,911 Transporting Service,608-388-2508,timothy.a.jorgensen.civ@army.mil,44.019068762,-90.691142015
Farmington Emergency Medical Team Inc.,La Crosse,Emergency Medical Technician (EMT),911 Non-Transporting Service,Mindoro,Region 4,,911 Non-Transporting Service,608-857-3139,postmaster@farmingtonems.org,44.02099,-91.102095
Galesville Ettrick First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Galesville,Region 4,,911 Non-Transporting Service,608-525-0054,ge95FR@yahoo.com,44.079116,-91.358177
Cataract First Responders,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Sparta,Region 4,,911 Non-Transporting Service,608-272-3252,dar@centurytel.net,44.089417,-90.840466
Fountain City First Responders,Buffalo,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fountain City,Region 4,,911 Non-Transporting Service,507-429-3870,fcfirstresponders@gmail.com,44.127469495,-91.713712474
Warrens Area Fire District,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Warrens (RR name Warren),Region 4,,911 Non-Transporting Service,608-696-8608,WarrensAreaFireDistrict@gmail.com,44.127634863,-90.50321759
Lincoln (Town Of) Fire Dept Monroe Co,Monroe,Emergency Medical Responder (EMR),911 Non-Transporting Service,Warrens (RR name Warren),Region 4,,911 Non-Transporting Service,608-696-8608,tlfdwarrens@hotmail.com,44.1276575,-90.503203833
Melrose First Responders Inc.,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Melrose,Region 4,,911 Non-Transporting Service,715-896-4508,melrosefirstresponders@melrosewi.com,44.130747,-90.996109
Dodge First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Dodge,Region 4,,911 Non-Transporting Service,608-863-1426,jessandtone@gmail.com,44.132410878,-91.550121003
Scenic Valley Emergency Medical Service,Buffalo,Emergency Medical Technician (EMT),911 Transporting Service,Cochrane,Region 4,,911 Transporting Service,507-459-7949,scenicvalleyems@outlook.com,44.230488935,-91.851571375
Arcadia Ambulance Service,Trempealeau,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Arcadia,Region 4,,911 Transporting Service,608-323-3589,dslaby@gundersenhealth.org,44.2434,-91.4739
Black River Falls Emergency Medical Service,Jackson,Emergency Medical Technician (EMT),911 Transporting Service,Black River Falls,Region 4,,911 Transporting Service,715-284-2656,fire.chief@blackriverfalls.us,44.294007,-90.847254
Blair-Preston Fire Department,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Blair,Region 4,,911 Non-Transporting Service,608-864-0302,luke.haarsma@pilgrims.com,44.294484,-91.230758
Waumandee First Responders,Buffalo,Emergency Medical Responder (EMR),911 Non-Transporting Service,Waumandee,Region 4,,911 Non-Transporting Service,608-323-0220,fdfjen31@gmail.com,44.303957,-91.704459
Ho-Chunk Nation Ems First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Black River Falls,Region 4,,911 Non-Transporting Service,715-284-5877,darrell.dick@ho-chunk.com,44.306121,-90.799833
Taylor Fire & Rescue First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Taylor,Region 4,,911 Non-Transporting Service,715-538-3425,roselexi16@gmail.com,44.323279,-91.121826
Western Buffalo County Ambulance Service,Buffalo,Emergency Medical Technician (EMT),911 Transporting Service,Alma,Region 4,,911 Transporting Service,715-495-2744,wbcaservice@gmail.com,44.324351,-91.917455
Independence First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Independence,Region 4,,911 Non-Transporting Service,715-530-1441,frindee@tcc.coop,44.363192,-91.41265
Tri County Ambulance Service,Trempealeau,Emergency Medical Technician (EMT),911 Transporting Service,Whitehall,Region 4,,911 Transporting Service,715-538-1794,broterin@gundersenhealth.org,44.364648,-91.318727
Hixton Area First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hixton,Region 4,,911 Non-Transporting Service,715-579-5042,hixtonfirstresponders@gmail.com,44.387828,-91.000997
Hale First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Whitehall,Region 4,,911 Non-Transporting Service,715-533-0536,farmerboy1200@hotmail.com,44.413132,-91.291771
Hatfield First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Merrillan,Region 4,,911 Non-Transporting Service,712-344-2164,Sachenw@outlook.com,44.415313749,-90.730532476
Pigeon Falls First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Pigeon Falls,Region 4,,911 Non-Transporting Service,715-299-5446,nicguthrie88@gmail.com,44.425291128,-91.209602613
Alma Center First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Alma Center,Region 4,,911 Non-Transporting Service,715-896-1836,gregmandigo211@gmail.com,44.437609,-90.913156
County Line Fire And Rescue,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Alma Center,Region 4,,911 Non-Transporting Service,608-807-9183,clfrrescue@gmail.com,44.437728482,-90.913564945
Merrillan Fire Department First Responders,Jackson,Emergency Medical Responder (EMR),911 Non-Transporting Service,Merrillan,Region 4,,911 Non-Transporting Service,715-333-8711,scottkloveland@yahoo.com,44.451204,-90.841485
Dover-Gilmanton First Responders,Buffalo,Emergency Medical Responder (EMR),911 Non-Transporting Service,Alma,Region 4,,911 Non-Transporting Service,715-946-3644,janetolson804@gmail.com,44.45903853,-91.696503695
Strum Unity Rescue First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Strum,Region 4,,911 Non-Transporting Service,715-695-3313,jjshermo35@yahoo.com,44.549498,-91.391525
Mondovi Ambulance Service,Buffalo,Emergency Medical Technician (EMT),911 Transporting Service,Mondovi,Region 4,,911 Transporting Service,715-926-3772,bryangibbs1963@gmail.com,44.565407,-91.669211
Eleva First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Eleva,Region 4,,911 Non-Transporting Service,715-797-1487,elevafirstresponders@gmail.com,44.575641,-91.467641
Osseo Rural Fd First Responders,Trempealeau,Emergency Medical Responder (EMR),911 Non-Transporting Service,Osseo,Region 4,,911 Non-Transporting Service,715-597-3108,kirkagunderson@gmail.com,44.582565384,-91.198731167
Beloit (City Of) Fire Department,Rock,Paramedic,911 Transporting Service,Beloit,Region 5,,911 Transporting Service,608-364-2900,ahrensm@beloitwi.gov,42.508803,-89.028
Beloit (Town Of) Fire Department,Rock,Paramedic,911 Transporting Service,Beloit (Town of),Region 5,,911 Transporting Service,608-364-2997,senadd24@gmail.com,42.53933,-89.051464
Hazel Green Area Rescue Squad,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Hazel Green,Region 5,,911 Transporting Service,608-732-7729,hgrescue@yahoo.com,42.543426,-90.437812
Clinton Fire Protection District - Ems,Rock,Emergency Medical Technician (EMT),911 Transporting Service,Clinton (Town of),Region 5,,911 Transporting Service,608-676-5550,clintonemswi@gmail.com,42.566000244,-88.860260378
South Wayne First Response,Lafayette,Emergency Medical Responder (EMR),911 Non-Transporting Service,South Wayne,Region 5,,911 Non-Transporting Service,608-258-6186,kfosterswfr@gmail.com,42.56879,-89.878431
Benton First Responders,Lafayette,Emergency Medical Responder (EMR),911 Non-Transporting Service,Benton,Region 5,,911 Non-Transporting Service,608-482-5093,Benton1st@gmail.com,42.569669,-90.381168
Shullsburg Ambulance Service,Lafayette,Emergency Medical Technician (EMT),911 Transporting Service,Shullsburg,Region 5,,911 Transporting Service,608-965-8928,213@cityofshullsburg.org,42.572332,-90.230854
Turtle (Town Of) Fd,Rock,Emergency Medical Responder (EMR),911 Non-Transporting Service,Beloit,Region 5,,911 Non-Transporting Service,608-856-0077,turtledcrogers@gmail.com,42.575179,-88.942067
Browntown Fire And First Response,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Browntown,Region 5,,911 Non-Transporting Service,608-966-3780,browntownfiredept@tds.net,42.577677,-89.794621
Gratiot First Responders,Lafayette,Emergency Medical Responder (EMR),911 Non-Transporting Service,Gratiot,Region 5,,911 Non-Transporting Service,608-922-6626,gratiotfire@live.com,42.579398,-90.0229
Jamestown First Responders,Grant,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kieler,Region 5,,911 Non-Transporting Service,563-543-8621,jamestownfire@tds.net,42.581926,-90.603266
"Juda And Community Fire Association, Inc.",Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Juda,Region 5,,911 Non-Transporting Service,608-934-5563,judafirstresponse@gmail.com,42.588535249,-89.503760245
Monroe Fire Department First Responders,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Monroe,Region 5,,911 Non-Transporting Service,608-426-1174,arufer@monroefiredept.com,42.5957,-89.6511
Green County Emergency Medical Service Inc.,Green,Paramedic with Critical Care Endorsement,911 Transporting Service,Monroe,Region 5,,911 Transporting Service,608-329-4367,ems@greencountyems.org,42.600045533,-89.637049418
Monroe Rural Fire District,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Monroe,Region 5,,911 Non-Transporting Service,608-558-7310,mrfd6900@gmail.com,42.603040416,-89.66794006
Brodhead Area Ems Inc.,Green,Emergency Medical Technician (EMT),911 Transporting Service,Brodhead,Region 5,,911 Transporting Service,608-897-4092,brodheademscaptain@gmail.com,42.618330125,-89.378514559
Brodhead Fire Dept First Responders,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Brodhead,Region 5,,911 Non-Transporting Service,608-897-4270,brodheadfiredistrict1@gmail.com,42.618781,-89.379113
Dickeyville Rescue Squad Inc.,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Dickeyville,Region 5,,911 Transporting Service,608-568-3095,dickeyvillerescue@gmail.com,42.6225,-90.5907
Orfordville Fire Protection District,Rock,Emergency Medical Technician (EMT),911 Transporting Service,Orfordville,Region 5,,911 Transporting Service,608-879-2122,orfordvillefire@yahoo.com,42.629097,-89.254951
Footville Fire Department Ems,Rock,Emergency Medical Technician (EMT),911 Transporting Service,Footville,Region 5,,911 Transporting Service,608-876-6118,jeramimielke@gmail.com,42.674638,-89.209717
Lafayette County Ems,Lafayette,Emergency Medical Technician (EMT),911 Transporting Service,Darlington,Region 5,,911 Transporting Service,608-776-4999,sphillips@lafayettecoems.org,42.680117613,-90.118548586
Janesville Fire Department Ambulance  Service,Rock,Paramedic,911 Transporting Service,Janesville,Region 5,,911 Transporting Service,608-373-3433,kessenichj@ci.janesville.wi.us,42.686787,-89.018076
Mercy Health Systems,Rock,Paramedic,ALS Intercept Service,Janesville,Region 5,,Other Primary Service Type,608-756-6182,BLieber@mhemail.org,42.689735001,-89.034402715
Potosi Rescue Squad Inc.,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Potosi,Region 5,,911 Transporting Service,661-510-9200,pugsalways@aol.com,42.69589,-90.699473
Argyle Emergency Medical Service,Lafayette,Emergency Medical Technician (EMT),911 Transporting Service,Argyle,Region 5,,911 Transporting Service,608-543-3750,argyleems204@gmail.com,42.701404,-89.866079
Albany Area Emergency Medical Service Inc.,Green,Emergency Medical Technician (EMT),911 Transporting Service,Albany,Region 5,,911 Transporting Service,608-862-3249,albany860ems@gmail.com,42.70908,-89.438513
Albany Community Vfd,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Albany,Region 5,,911 Non-Transporting Service,608-862-3276,bhauri972@yahoo.com,42.709878,-89.438099
Cassville Rescue Squad,Grant,Emergency Medical Technician (EMT),911 Transporting Service,Cassville,Region 5,,911 Transporting Service,608-725-5875,cassvilleems@yahoo.com,42.715586,-90.993312
Southwest Health Emergency Medical Service,Grant,Paramedic with Critical Care Endorsement,911 Transporting Service,Platteville,Region 5,,911 Transporting Service,608-342-6250,ems@southwesthealth.org,42.720521,-90.455974
Belmont Ambulance Service,Lafayette,Emergency Medical Technician (EMT),911 Transporting Service,Belmont,Region 5,,911 Transporting Service,608-762-5495,belmont207@hotmail.com,42.739125,-90.333338
Monticello Fire And Rescue,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,Monticello,Region 5,,911 Non-Transporting Service,608-938-4979,monticellofire@tds.net,42.748566,-89.594174
Evansville Emergency Medical Service,Rock,Emergency Medical Technician (EMT),911 Transporting Service,Evansville,Region 5,,911 Transporting Service,608-882-2269,carolyn.kleisch@ci.evansville.wi.gov,42.7789,-89.299609
Blanchardville Fire Department,Lafayette,Emergency Medical Technician (EMT),911 Transporting Service,Blanchardville,Region 5,,911 Transporting Service,608-523-4520,ems_chief@blanchardvillewi.gov,42.81031,-89.860998
New Glarus Area Emergency Medical Service,Green,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,New Glarus,Region 5,,911 Transporting Service,608-527-5067,directorngems@yahoo.com,42.81156,-89.638557
New Glarus Fire Department,Green,Emergency Medical Responder (EMR),911 Non-Transporting Service,New Glarus,Region 5,,911 Non-Transporting Service,608-527-5300,ngfd@newglarusfd.com,42.818452,-89.635372
Glen Haven Fire Department,Grant,Emergency Medical Responder (EMR),911 Non-Transporting Service,Glen Haven,Region 5,,911 Non-Transporting Service,608-732-2509,ghfdfr@gmail.com,42.822207,-91.03813
Edgerton Fire Protection District - Ems Division,Rock,Paramedic,911 Transporting Service,Edgerton,Region 5,,911 Transporting Service,608-884-3327,whitmoreb@edgertonfire.com,42.839939,-89.063583
Rewey First Responders,Iowa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Rewey,Region 5,,911 Non-Transporting Service,608-943-6161,alex_watson1103@yahoo.com,42.841029,-90.397751
"Lancaster Ems, Inc.",Grant,Emergency Medical Technician (EMT),911 Transporting Service,Lancaster,Region 5,,911 Transporting Service,608-723-6331,lancasterems@tds.net,42.850304,-90.712257
Brooklyn Fire And Ems Protection District,Green,Emergency Medical Technician (EMT),911 Transporting Service,Brooklyn,Region 5,,911 Transporting Service,608-455-3812,brooklynems.r42@gmail.com,42.853445,-89.379615
Mineral Point Rescue Squad,Iowa,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Mineral Point,Region 5,,911 Transporting Service,608-987-2752,mineralpointems@gmail.com,42.854385,-90.189094
Belleville Exeter & Montrose Fire & Ems District,Dane,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Belleville,Region 5,,911 Transporting Service,608-424-3350,chief@bellevilleems.com,42.868026,-89.5329
Hollandale First Responders,Iowa,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hollandale,Region 5,,911 Non-Transporting Service,608-235-7950,hfrsectreas@mhtc.net,42.875181,-89.935556
Palmyra (Village Of) Fire Rescue,Jefferson,Emergency Medical Technician (EMT),911 Transporting Service,Palmyra,Region 5,,911 Transporting Service,262-495-4200,mgartzke@vi.palmyra.wi.gov,42.879032,-88.585096
